,Star ID,RA,DE,Magnitude
28016,28016,2.98077068,0.97956187,5.9
28063,28063,3.02089078,0.96100815,5.8
28080,28080,3.03331978,0.88828959,6.0
28141,28141,3.07291541,0.97575027,5.4
28178,28178,3.10323658,0.94200258,2.5
28190,28190,3.11266769,0.99268757,5.9
28314,28314,-3.08504515,1.0002528,3.4
28326,28326,-3.07600078,0.93321805,6.0
28345,28345,-3.06116642,1.01477481,5.7
28365,28365,-3.04734043,0.90476196,5.0
28374,28374,-3.0426756,0.99579242,6.0
28393,28393,-3.03157909,0.9771986,5.8
28404,28404,-3.02104457,1.02417007,5.4
28443,28443,-2.99271606,1.04304425,5.5
28552,28552,-2.91542095,0.98141386,1.7
28571,28571,-2.90550923,0.9489296,6.0
28600,28600,-2.8859491,0.98847585,4.9
28736,28736,-2.78416987,0.96317672,2.4
28737,28737,-2.784105,0.96311452,4.0
28750,28750,-2.77845675,0.96426043,4.0
28802,28802,-2.73928945,0.97047617,5.5
28831,28831,-2.71584619,0.92805187,5.3
28842,28842,-2.71030986,0.95878218,4.8
28865,28865,-2.69664473,0.91307215,5.8
28884,28884,-2.68462508,0.95438148,5.5
28927,28927,-2.65285165,0.94202343,5.6
28988,28988,-2.61304143,0.89381152,6.0
29045,29045,-2.56697805,0.90797627,4.6
29070,29070,-2.5551858,0.90054107,4.9
29136,29136,-2.51548414,0.90898842,4.1
29164,29164,-2.50066469,0.87384937,5.6
29190,29190,-2.48295549,0.97071049,6.0
29226,29226,-2.4580103,0.94664516,5.5
29314,29314,-2.39909853,1.03841122,5.7
29406,29406,-2.33504306,0.95553446,5.2
29486,29486,-2.27498032,0.90997681,5.5
29519,29519,-2.25229351,1.03219819,3.5
29582,29582,-2.20808686,0.94399454,6.0
29587,29587,-2.20495239,0.95635113,5.7
29596,29596,-2.19804853,0.95420292,6.0
29599,29599,-2.19428203,0.88288358,5.9
29627,29627,-2.17519038,0.91661168,5.5
29654,29654,-2.15817568,0.97087925,5.9
29667,29667,-2.15364458,0.96916679,5.8
29697,29697,-2.13318729,0.97692657,5.9
29726,29726,-2.10923039,0.95801724,5.0
29736,29736,-2.10465021,0.8730597,5.9
29764,29764,-2.09026238,1.02447768,4.1
29873,29873,-2.02276737,1.04502825,5.6
29930,29930,-1.99262233,0.96548351,5.7
30011,30011,-1.94165857,0.92502213,5.6
30012,30012,-1.94148622,0.92544687,5.6
30025,30025,-1.93298006,0.97935122,5.4
30075,30075,-1.90090767,0.99257985,4.9
30238,30238,-1.81388018,0.95182476,5.1
30353,30353,-1.74239804,0.93317897,6.0
30428,30428,-1.70474969,0.91346485,3.0
30446,30446,-1.69651144,0.96373237,5.0
30449,30449,-1.69611685,0.96353238,5.0
30537,30537,-1.6452317,0.93937174,5.7
30590,30590,-1.62370081,0.88648948,5.2
30630,30630,-1.60281583,0.99274173,3.9
30652,30652,-1.59068027,0.89874048,2.4
30783,30783,-1.52934003,0.94720827,5.9
30948,30948,-1.46966373,1.02575182,4.9
31038,31038,-1.43243113,0.99495703,5.0
31050,31050,-1.42763801,0.9130371,5.4
31092,31092,-1.40180867,0.91015973,5.9
31118,31118,-1.38900726,0.96845232,5.1
31164,31164,-1.37183053,0.92384355,5.8
31216,31216,-1.35061539,0.92345031,5.6
31217,31217,-1.35061016,1.03544741,4.9
31218,31218,-1.35060478,1.0354477,4.8
31240,31240,-1.34396234,0.88392549,5.0
31283,31283,-1.32687041,1.00789201,5.7
31310,31310,-1.31348766,0.88072451,5.2
31322,31322,-1.31016215,0.97016032,5.5
31370,31370,-1.29243791,0.93059627,5.4
31412,31412,-1.27732852,0.91359526,5.9
31467,31467,-1.26217783,0.9908831,5.2
31496,31496,-1.25215513,1.00562827,5.3
31536,31536,-1.23941749,0.92983327,4.0
31672,31672,-1.1946458,0.91137385,5.7
31701,31701,-1.1848841,0.90098255,3.9
31736,31736,-1.17810851,0.87613395,5.7
31781,31781,-1.16485826,0.89236149,5.6
31814,31814,-1.15584618,0.87448811,4.6
31821,31821,-1.15419415,0.87417497,5.6
31849,31849,-1.14510077,0.95741796,5.9
32041,32041,-1.09356425,0.9225888,5.2
32084,32084,-1.08095192,1.00167835,5.0
32092,32092,-1.07906434,1.03979736,6.0
32113,32113,-1.07191031,0.912903,4.8
32121,32121,-1.06914767,1.02471606,5.1
32169,32169,-1.05622831,0.90613965,6.0
32285,32285,-1.0257572,0.92532514,5.7
32377,32377,-0.9938096,0.98461266,4.3
32454,32454,-0.97224562,0.96412255,6.0
32626,32626,-0.92414231,0.97563789,5.9
32808,32808,-0.86975166,0.87545303,5.4
32861,32861,-0.85472925,1.00181472,4.6
